tool_iomadpolicy|acceptanceacknowledgement|I acknowledge that I have received a request to give consent on behalf of the above user(s).
tool_iomadpolicy|acceptancenote|Remarks
tool_iomadpolicy|acceptancepolicies|Policies
tool_iomadpolicy|acceptancessavedsucessfully|The agreements have been saved successfully.
tool_iomadpolicy|acceptancestatusaccepted|Accepted
tool_iomadpolicy|acceptancestatusacceptedbehalf|Accepted on user's behalf
tool_iomadpolicy|acceptancestatusdeclined|Declined
tool_iomadpolicy|acceptancestatusdeclinedbehalf|Declined on user's behalf
tool_iomadpolicy|acceptancestatusoverall|Overall
tool_iomadpolicy|acceptancestatuspartial|Partially accepted
tool_iomadpolicy|acceptancestatuspending|Pending
tool_iomadpolicy|acceptanceusers|Users
tool_iomadpolicy|actions|Actions
tool_iomadpolicy|activate|Set status to "Active"
tool_iomadpolicy|activating|Activating a policy
tool_iomadpolicy|activateconfirm|<p>You are about to activate policy <em>'{$a->name}'</em> and make the version <em>'{$a->revision}'</em> the current one.</p><p>All users will be required to agree to this new policy version to be able to use the site.</p>
tool_iomadpolicy|activateconfirmyes|Activate
tool_iomadpolicy|agreepolicies|Please agree to the following policies
tool_iomadpolicy|backtoprevious|Go back to previous page
tool_iomadpolicy|backtotop|Back to top
tool_iomadpolicy|cachedef_iomadpolicy_optional|Cache of the optional/compulsory flag for policy versions
tool_iomadpolicy|consentbulk|Consent
tool_iomadpolicy|consentpagetitle|Consent
tool_iomadpolicy|contactdpo|For any questions about the policies please contact the privacy officer.
tool_iomadpolicy|dataproc|Personal data processing
tool_iomadpolicy|declineacknowledgement|I acknowledge that I have received a request to decline consent on behalf of the above user(s).
tool_iomadpolicy|declinetheiomadpolicy|Decline user consent
tool_iomadpolicy|deleting|Deleting a version
tool_iomadpolicy|deleteconfirm|<p>Are you sure you want to delete policy <em>'{$a->name}'</em>?</p><p>This operation can not be undone.</p>
tool_iomadpolicy|editingiomadpolicydocument|Editing policy
tool_iomadpolicy|erroriomadpolicyversioncompulsory|Compulsory policies cannot be declined!
tool_iomadpolicy|erroriomadpolicyversionnotfound|There isn't any policy version with this identifier.
tool_iomadpolicy|errorsaveasdraft|Minor change can not be saved as draft
tool_iomadpolicy|errorusercantviewiomadpolicyversion|The user doesn't have access to this policy version.
tool_iomadpolicy|event_acceptance_created|User policy agreement created
tool_iomadpolicy|event_acceptance_updated|User policy agreement updated
tool_iomadpolicy|filtercapabilityno|Permission: Can not agree
tool_iomadpolicy|filtercapabilityyes|Permission: Can agree
tool_iomadpolicy|filterrevision|Version: {$a}
tool_iomadpolicy|filterrevisionstatus|Version: {$a->name} ({$a->status})
tool_iomadpolicy|filterrole|Role: {$a}
tool_iomadpolicy|filters|Filters
tool_iomadpolicy|filterstatusdeclined|Status: Declined
tool_iomadpolicy|filterstatuspending|Status: Pending
tool_iomadpolicy|filterstatusyes|Status: Agreed
tool_iomadpolicy|filterplaceholder|Search keyword or select filter
tool_iomadpolicy|filteriomadpolicy|Policy: {$a}
tool_iomadpolicy|guestconsent:continue|Continue
tool_iomadpolicy|guestconsentmessage|If you continue browsing this website, you agree to our policies:
tool_iomadpolicy|iagree|I agree to the {$a}
tool_iomadpolicy|idontagree|No thanks, I decline {$a}
tool_iomadpolicy|iagreetotheiomadpolicy|Give consent
tool_iomadpolicy|inactivate|Set status to "Inactive"
tool_iomadpolicy|inactivating|Inactivating a policy
tool_iomadpolicy|inactivatingconfirm|<p>You are about to inactivate policy <em>'{$a->name}'</em> version <em>'{$a->revision}'</em>.</p>
tool_iomadpolicy|inactivatingconfirmyes|Inactivate
tool_iomadpolicy|invalidversionid|There is no policy with this identifier!
tool_iomadpolicy|irevoketheiomadpolicy|Withdraw user consent
tool_iomadpolicy|listactivepolicies|List of active policies
tool_iomadpolicy|minorchange|Minor change
tool_iomadpolicy|minorchangeinfo|A minor change does not alter the meaning of the policy. Users are not required to agree to the policy again if the edit is marked as a minor change.
tool_iomadpolicy|managepolicies|Manage policies
tool_iomadpolicy|movedown|Move down
tool_iomadpolicy|moveup|Move up
tool_iomadpolicy|mustagreetocontinue|Before continuing you need to acknowledge all these policies.
tool_iomadpolicy|newiomadpolicy|New policy
tool_iomadpolicy|newversion|New version
tool_iomadpolicy|noactivepolicies|There are no policies with an active version.
tool_iomadpolicy|nofiltersapplied|No filters applied
tool_iomadpolicy|nopermissiontoagreedocs|No permission to agree to the policies
tool_iomadpolicy|nopermissiontoagreedocs_desc|Sorry, you do not have the required permissions to agree to the policies.<br />You will not be able to use this site until the following policies are agreed:
